tanggal,produk,qty,total_harga,harga_per_unit
2021-01-15,M,40,72000,1800.0
2021-01-15,L,110,192500,1750.0
2021-01-15,XL,50,115000,2300.0
2021-01-15,XXL,0,0,0.0
2021-01-16,S,10,16500,1650.0
2021-01-16,M,50,87500,1750.0
2021-01-16,L,120,210000,1750.0
2021-01-16,XL,70,161000,2300.0
2021-01-16,XXL,0,0,0.0
2021-01-17,S,0,0,0.0
2021-01-17,M,0,0,0.0
2021-01-17,L,0,0,0.0
2021-01-17,XL,0,0,0.0
2021-01-17,XXL,0,0,0.0
2021-01-18,S,0,0,0.0
2021-01-18,M,0,0,0.0
2021-01-18,L,0,0,0.0
2021-01-18,XL,0,0,0.0
2021-01-18,XXL,0,0,0.0
2021-01-19,S,70,115500,1650.0
2021-01-19,M,80,140000,1750.0
2021-01-19,L,220,385000,1750.0
2021-01-19,XL,140,322000,2300.0
2021-01-19,XXL,40,104000,2600.0
2021-01-20,S,20,33000,1650.0
2021-01-20,M,70,122500,1750.0
2021-01-20,L,160,280000,1750.0
2021-01-20,XL,90,207000,2300.0
2021-01-20,XXL,60,156000,2600.0
2021-01-21,S,0,0,0.0
2021-01-21,M,60,105000,1750.0
2021-01-21,L,20,35000,1750.0
2021-01-21,XL,80,184000,2300.0
2021-01-21,XXL,90,234000,2600.0
2021-01-22,S,20,33000,1650.0
2021-01-22,M,20,35000,1750.0
2021-01-22,L,72,126000,1750.0
2021-01-22,XL,30,69000,2300.0
2021-01-22,XXL,20,53000,2650.0
2021-01-23,S,20,33000,1650.0
2021-01-23,M,40,70000,1750.0
2021-01-23,L,130,227500,1750.0
2021-01-23,XL,40,92000,2300.0
2021-01-23,XXL,100,260000,2600.0
2021-01-24,S,0,0,0.0
2021-01-24,M,0,0,0.0
2021-01-24,L,0,0,0.0
2021-01-24,XL,0,0,0.0
2021-01-24,XXL,0,0,0.0
2021-01-25,S,20,33000,1650.0
2021-01-25,M,40,70000,1750.0
2021-01-25,L,220,385000,1750.0
2021-01-25,XL,92,211600,2300.0
2021-01-25,XXL,40,104000,2600.0
2021-01-26,S,40,66000,1650.0
2021-01-26,M,80,140000,1750.0
2021-01-26,L,190,332500,1750.0
2021-01-26,XL,40,92000,2300.0
2021-01-26,XXL,20,52000,2600.0
2021-01-27,S,40,66000,1650.0
2021-01-27,M,40,70000,1750.0
2021-01-27,L,120,210000,1750.0
2021-01-27,XL,63,144900,2300.0
2021-01-27,XXL,50,130000,2600.0
2021-01-28,S,0,0,0.0
2021-01-28,M,110,192500,1750.0
2021-01-28,L,70,122500,1750.0
2021-01-28,XL,10,23000,2300.0
2021-01-28,XXL,90,234000,2600.0
2021-01-29,S,20,33000,1650.0
2021-01-29,M,50,87500,1750.0
2021-01-29,L,110,192500,1750.0
2021-01-29,XL,30,69000,2300.0
2021-01-29,XXL,10,26500,2650.0
2021-01-30,S,0,0,0.0
2021-01-30,M,0,0,0.0
2021-01-30,L,160,280000,1750.0
2021-01-30,XL,40,92000,2300.0
2021-01-30,XXL,70,182000,2600.0
2021-01-31,S,0,0,0.0
2021-01-31,M,0,0,0.0
2021-01-31,L,0,0,0.0
2021-01-31,XL,0,0,0.0
2021-01-31,XXL,0,0,0.0
2021-02-01,S,0,0,0.0
2021-02-01,M,30,52500,1750.0
2021-02-01,L,130,227500,1750.0
2021-02-01,XL,130,299000,2300.0
2021-02-01,XXL,60,156000,2600.0
2021-02-02,S,70,115500,1650.0
2021-02-02,M,80,140000,1750.0
2021-02-02,L,40,70000,1750.0
2021-02-02,XL,60,138000,2300.0
2021-02-02,XXL,200,508000,2540.0
2021-02-03,S,10,16500,1650.0
2021-02-03,M,40,70000,1750.0
2021-02-03,L,120,210000,1750.0
2021-02-03,XL,30,69000,2300.0
2021-02-03,XXL,10,26500,2650.0
2021-02-04,S,0,0,0.0
2021-02-04,M,100,175000,1750.0
2021-02-04,L,80,140000,1750.0
2021-02-04,XL,30,69000,2300.0
2021-02-04,XXL,70,182000,2600.0
2021-02-05,S,20,33000,1650.0
2021-02-05,M,60,105000,1750.0
2021-02-05,L,90,157500,1750.0
2021-02-05,XL,0,0,0.0
2021-02-05,XXL,60,156000,2600.0
2021-02-06,S,0,0,0.0
2021-02-06,M,30,52500,1750.0
2021-02-06,L,70,122500,1750.0
2021-02-06,XL,60,138000,2300.0
2021-02-06,XXL,10,27000,2700.0
2021-02-07,S,0,0,0.0
2021-02-07,M,0,0,0.0
2021-02-07,L,0,0,0.0
2021-02-07,XL,0,0,0.0
2021-02-07,XXL,0,0,0.0
2021-02-08,S,0,0,0.0
2021-02-08,M,20,33000,1650.0
2021-02-08,L,110,192500,1750.0
2021-02-08,XL,90,207000,2300.0
2021-02-08,XXL,20,52000,2600.0
2021-02-09,S,0,0,0.0
2021-02-09,M,60,105000,1750.0
2021-02-09,L,80,140000,1750.0
2021-02-09,XL,133,305900,2300.0
2021-02-09,XXL,30,78000,2600.0
2021-02-10,S,10,16500,1650.0
2021-02-10,M,60,105000,1750.0
2021-02-10,L,120,210000,1750.0
2021-02-10,XL,100,230000,2300.0
2021-02-10,XXL,60,156000,2600.0
2021-02-11,S,0,0,0.0
2021-02-11,M,130,227500,1750.0
2021-02-11,L,110,192500,1750.0
2021-02-11,XL,40,92000,2300.0
2021-02-11,XXL,60,156000,2600.0
2021-02-12,S,0,0,0.0
2021-02-12,M,80,140000,1750.0
2021-02-12,L,90,157500,1750.0
2021-02-12,XL,80,184000,2300.0
2021-02-12,XXL,40,104000,2600.0
2021-02-13,S,0,0,0.0
2021-02-13,M,10,17500,1750.0
2021-02-13,L,90,157500,1750.0
2021-02-13,XL,80,184000,2300.0
2021-02-13,XXL,40,104000,2600.0
2021-02-14,S,0,0,0.0
2021-02-14,M,0,0,0.0
2021-02-14,L,0,0,0.0
2021-02-14,XL,0,0,0.0
2021-02-14,XXL,0,0,0.0
2021-02-15,S,0,0,0.0
2021-02-15,M,10,17500,1750.0
2021-02-15,L,180,315000,1750.0
2021-02-15,XL,60,138000,2300.0
2021-02-15,XXL,10,26500,2650.0
2021-02-16,S,0,0,0.0
2021-02-16,M,80,140000,1750.0
2021-02-16,L,110,192500,1750.0
2021-02-16,XL,70,161000,2300.0
2021-02-16,XXL,10,26500,2650.0
2021-02-17,S,0,0,0.0
2021-02-17,M,70,122500,1750.0
2021-02-17,L,160,280000,1750.0
2021-02-17,XL,30,69000,2300.0
2021-02-17,XXL,10,26500,2650.0
2021-02-18,S,0,0,0.0
2021-02-18,M,60,105000,1750.0
2021-02-18,L,90,157500,1750.0
2021-02-18,XL,40,92000,2300.0
2021-02-18,XXL,40,104000,2600.0
2021-02-19,S,0,0,0.0
2021-02-19,M,0,0,0.0
2021-02-19,L,0,0,0.0
2021-02-19,XL,0,0,0.0
2021-02-19,XXL,0,0,0.0
2021-02-20,S,40,66000,1650.0
2021-02-20,M,80,140000,1750.0
2021-02-20,L,150,262500,1750.0
2021-02-20,XL,60,138000,2300.0
2021-02-20,XXL,40,104000,2600.0
2021-02-21,S,0,0,0.0
2021-02-21,M,0,0,0.0
2021-02-21,L,0,0,0.0
2021-02-21,XL,0,0,0.0
2021-02-21,XXL,0,0,0.0
2021-02-22,S,50,82500,1650.0
2021-02-22,M,50,87500,1750.0
2021-02-22,L,150,262500,1750.0
2021-02-22,XL,120,276000,2300.0
2021-02-22,XXL,60,156000,2600.0
2021-02-23,S,60,99000,1650.0
2021-02-23,M,110,192500,1750.0
2021-02-23,L,90,157500,1750.0
2021-02-23,XL,80,184000,2300.0
2021-02-23,XXL,40,104000,2600.0
2021-02-24,S,10,16500,1650.0
2021-02-24,M,50,87500,1750.0
2021-02-24,L,140,245000,1750.0
2021-02-24,XL,70,161000,2300.0
2021-02-24,XXL,20,53000,2650.0
2021-02-25,S,20,33000,1650.0
2021-02-25,M,100,175000,1750.0
2021-02-25,L,80,140000,1750.0
2021-02-25,XL,50,115000,2300.0
2021-02-25,XXL,60,156000,2600.0
2021-02-26,S,40,66000,1650.0
2021-02-26,M,70,122500,1750.0
2021-02-26,L,120,210000,1750.0
2021-02-26,XL,60,138000,2300.0
2021-02-26,XXL,50,130000,2600.0
2021-02-27,S,10,16500,1650.0
2021-02-27,M,10,17500,1750.0
2021-02-27,L,170,297500,1750.0
2021-02-27,XL,120,276000,2300.0
2021-02-27,XXL,80,208000,2600.0
2021-02-28,S,0,0,0.0
2021-02-28,M,0,0,0.0
2021-02-28,L,0,0,0.0
2021-02-28,XL,0,0,0.0
2021-02-28,XXL,0,0,0.0
2021-03-01,S,40,66000,1650.0
2021-03-01,M,40,70000,1750.0
2021-03-01,L,210,367500,1750.0
2021-03-01,XL,140,322000,2300.0
2021-03-01,XXL,0,0,0.0
2021-03-02,S,0,0,0.0
2021-03-02,M,50,87500,1750.0
2021-03-02,L,120,210000,1750.0
2021-03-02,XL,100,230000,2300.0
2021-03-02,XXL,60,156000,2600.0
2021-03-03,S,0,0,0.0
2021-03-03,M,50,87500,1750.0
2021-03-03,L,180,315000,1750.0
2021-03-03,XL,60,138000,2300.0
2021-03-03,XXL,60,156000,2600.0
2021-03-04,S,10,16500,1650.0
2021-03-04,M,80,140000,1750.0
2021-03-04,L,170,297500,1750.0
2021-03-04,XL,90,207000,2300.0
2021-03-04,XXL,50,130000,2600.0
2021-03-05,S,40,66000,1650.0
2021-03-05,M,20,35000,1750.0
2021-03-05,L,110,192500,1750.0
2021-03-05,XL,50,115000,2300.0
2021-03-05,XXL,0,0,0.0
2021-03-06,S,30,49500,1650.0
2021-03-06,M,90,157500,1750.0
2021-03-06,L,90,157500,1750.0
2021-03-06,XL,50,115000,2300.0
2021-03-06,XXL,20,53000,2650.0
2021-03-07,S,0,0,0.0
2021-03-07,M,0,0,0.0
2021-03-07,L,0,0,0.0
2021-03-07,XL,0,0,0.0
2021-03-07,XXL,0,0,0.0
2021-03-08,S,40,66000,1650.0
2021-03-08,M,90,157500,1750.0
2021-03-08,L,230,402500,1750.0
2021-03-08,XL,110,253000,2300.0
2021-03-08,XXL,0,0,0.0
2021-03-09,S,20,33000,1650.0
2021-03-09,M,40,70000,1750.0
2021-03-09,L,120,210000,1750.0
2021-03-09,XL,60,138000,2300.0
2021-03-09,XXL,0,0,0.0
2021-03-10,S,0,0,0.0
2021-03-10,M,40,70000,1750.0
2021-03-10,L,170,297500,1750.0
2021-03-10,XL,40,92000,2300.0
2021-03-10,XXL,0,0,0.0
2021-03-11,S,50,82500,1650.0
2021-03-11,M,30,52500,1750.0
2021-03-11,L,70,122500,1750.0
2021-03-11,XL,70,161000,2300.0
2021-03-11,XXL,90,234000,2600.0
2021-03-12,S,0,0,0.0
2021-03-12,M,50,87500,1750.0
2021-03-12,L,70,122500,1750.0
2021-03-12,XL,50,115000,2300.0
2021-03-12,XXL,40,104000,2600.0
2021-03-13,S,20,33000,1650.0
2021-03-13,M,30,52500,1750.0
2021-03-13,L,80,140000,1750.0
2021-03-13,XL,50,115000,2300.0
2021-03-13,XXL,50,130000,2600.0
2021-03-14,S,10,16500,1650.0
2021-03-14,M,10,17500,1750.0
2021-03-14,L,170,297500,1750.0
2021-03-14,XL,80,184000,2300.0
2021-03-14,XXL,20,52000,2600.0
2021-03-15,S,0,0,0.0
2021-03-15,M,0,0,0.0
2021-03-15,L,0,0,0.0
2021-03-15,XL,0,0,0.0
2021-03-15,XXL,0,0,0.0
2021-03-16,S,50,82500,1650.0
2021-03-16,M,80,140000,1750.0
2021-03-16,L,140,245000,1750.0
2021-03-16,XL,50,115000,2300.0
2021-03-16,XXL,34,90100,2650.0
2021-03-17,S,10,16500,1650.0
2021-03-17,M,60,105000,1750.0
2021-03-17,L,130,227500,1750.0
2021-03-17,XL,20,46000,2300.0
2021-03-17,XXL,30,79500,2650.0
2021-03-18,S,0,0,0.0
2021-03-18,M,110,192500,1750.0
2021-03-18,L,170,297500,1750.0
2021-03-18,XL,60,138000,2300.0
2021-03-18,XXL,50,130000,2600.0
2021-03-19,S,0,0,0.0
2021-03-19,M,80,140000,1750.0
2021-03-19,L,180,315000,1750.0
2021-03-19,XL,30,69000,2300.0
2021-03-19,XXL,20,53000,2650.0
2021-03-20,S,0,0,0.0
2021-03-20,M,70,122500,1750.0
2021-03-20,L,230,402500,1750.0
2021-03-20,XL,60,138000,2300.0
2021-03-20,XXL,30,79500,2650.0
2021-03-21,S,0,0,0.0
2021-03-21,M,0,0,0.0
2021-03-21,L,190,332500,1750.0
2021-03-21,XL,140,322000,2300.0
2021-03-21,XXL,60,156000,2600.0
2021-03-22,S,0,0,0.0
2021-03-22,M,0,0,0.0
2021-03-22,L,190,332500,1750.0
2021-03-22,XL,140,322000,2300.0
2021-03-22,XXL,60,156000,2600.0
2021-03-23,S,0,0,0.0
2021-03-23,M,30,52500,1750.0
2021-03-23,L,170,297500,1750.0
2021-03-23,XL,40,92000,2300.0
2021-03-23,XXL,14,36000,2571.4285714285716
2021-03-24,S,0,0,0.0
2021-03-24,M,0,0,0.0
2021-03-24,L,0,0,0.0
2021-03-24,XL,0,0,0.0
2021-03-24,XXL,0,0,0.0
2021-03-25,S,40,66000,1650.0
2021-03-25,M,110,192500,1750.0
2021-03-25,L,120,210000,1750.0
2021-03-25,XL,80,184000,2300.0
2021-03-25,XXL,50,130000,2600.0
2021-03-26,S,0,0,0.0
2021-03-26,M,60,105000,1750.0
2021-03-26,L,90,157500,1750.0
2021-03-26,XL,50,115000,2300.0
2021-03-26,XXL,20,52000,2600.0
2021-03-27,S,0,0,0.0
2021-03-27,M,30,52500,1750.0
2021-03-27,L,150,262500,1750.0
2021-03-27,XL,50,115000,2300.0
2021-03-27,XXL,70,182000,2600.0
2021-03-28,S,0,0,0.0
2021-03-28,M,0,0,0.0
2021-03-28,L,0,0,0.0
2021-03-28,XL,0,0,0.0
2021-03-28,XXL,0,0,0.0
2021-03-29,S,10,16500,1650.0
2021-03-29,M,60,105000,1750.0
2021-03-29,L,160,280000,1750.0
2021-03-29,XL,60,138000,2300.0
2021-03-29,XXL,40,104000,2600.0
2021-03-30,S,30,49500,1650.0
2021-03-30,M,70,122500,1750.0
2021-03-30,L,110,192500,1750.0
2021-03-30,XL,100,230000,2300.0
2021-03-30,XXL,50,130000,2600.0
2021-03-31,S,50,82500,1650.0
2021-03-31,M,100,175000,1750.0
2021-03-31,L,100,175000,1750.0
2021-03-31,XL,60,138000,2300.0
2021-03-31,XXL,50,130000,2600.0
2021-04-01,S,20,33000,1650.0
2021-04-01,M,140,245000,1750.0
2021-04-01,L,110,192500,1750.0
2021-04-01,XL,60,138000,2300.0
2021-04-01,XXL,31,80600,2600.0
2021-04-02,S,0,0,0.0
2021-04-02,M,0,0,0.0
2021-04-02,L,0,0,0.0
2021-04-02,XL,0,0,0.0
2021-04-02,XXL,0,0,0.0
2021-04-03,S,0,0,0.0
2021-04-03,M,0,0,0.0
2021-04-03,L,0,0,0.0
2021-04-03,XL,0,0,0.0
2021-04-03,XXL,0,0,0.0
2021-04-04,S,0,0,0.0
2021-04-04,M,0,0,0.0
2021-04-04,L,0,0,0.0
2021-04-04,XL,0,0,0.0
2021-04-04,XXL,0,0,0.0
2021-04-05,S,20,33000,1650.0
2021-04-05,M,70,122500,1750.0
2021-04-05,L,160,280000,1750.0
2021-04-05,XL,130,299000,2300.0
2021-04-05,XXL,10,26000,2600.0
2021-04-06,S,20,33000,1650.0
2021-04-06,M,70,122500,1750.0
2021-04-06,L,200,350000,1750.0
2021-04-06,XL,100,230000,2300.0
2021-04-06,XXL,60,156000,2600.0
2021-04-07,S,10,16500,1650.0
2021-04-07,M,70,122500,1750.0
2021-04-07,L,100,175000,1750.0
2021-04-07,XL,120,276000,2300.0
2021-04-07,XXL,0,0,0.0
2021-04-08,S,10,16500,1650.0
2021-04-08,M,80,140000,1750.0
2021-04-08,L,170,297500,1750.0
2021-04-08,XL,60,138000,2300.0
2021-04-08,XXL,0,0,0.0
2021-04-09,S,0,0,0.0
2021-04-09,M,50,87500,1750.0
2021-04-09,L,150,262500,1750.0
2021-04-09,XL,90,207000,2300.0
2021-04-09,XXL,0,0,0.0
2021-04-10,S,40,66000,1650.0
2021-04-10,M,30,52500,1750.0
2021-04-10,L,120,210000,1750.0
2021-04-10,XL,40,92000,2300.0
2021-04-10,XXL,120,312000,2600.0
2021-04-11,S,0,0,0.0
2021-04-11,M,0,0,0.0
2021-04-11,L,0,0,0.0
2021-04-11,XL,0,0,0.0
2021-04-11,XXL,0,0,0.0
2021-04-12,S,20,33000,1650.0
2021-04-12,M,40,70000,1750.0
2021-04-12,L,200,350000,1750.0
2021-04-12,XL,150,345000,2300.0
2021-04-12,XXL,62,156000,2516.1290322580644
2021-04-13,S,0,0,0.0
2021-04-13,M,0,0,0.0
2021-04-13,L,0,0,0.0
2021-04-13,XL,0,0,0.0
2021-04-13,XXL,0,0,0.0
2021-04-14,S,0,0,0.0
2021-04-14,M,0,0,0.0
2021-04-14,L,0,0,0.0
2021-04-14,XL,0,0,0.0
2021-04-14,XXL,0,0,0.0
2021-04-15,S,0,0,0.0
2021-04-15,M,0,0,0.0
2021-04-15,L,0,0,0.0
2021-04-15,XL,0,0,0.0
2021-04-15,XXL,0,0,0.0
2021-04-16,S,0,0,0.0
2021-04-16,M,0,0,0.0
2021-04-16,L,0,0,0.0
2021-04-16,XL,0,0,0.0
2021-04-16,XXL,0,0,0.0
2021-04-17,S,0,0,0.0
2021-04-17,M,0,0,0.0
2021-04-17,L,0,0,0.0
2021-04-17,XL,0,0,0.0
2021-04-17,XXL,0,0,0.0
2021-04-18,S,0,0,0.0
2021-04-18,M,0,0,0.0
2021-04-18,L,0,0,0.0
2021-04-18,XL,0,0,0.0
2021-04-18,XXL,0,0,0.0
2021-04-19,S,0,0,0.0
2021-04-19,M,0,0,0.0
2021-04-19,L,0,0,0.0
2021-04-19,XL,0,0,0.0
2021-04-19,XXL,0,0,0.0
2021-04-20,S,0,0,0.0
2021-04-20,M,60,105000,1750.0
2021-04-20,L,140,245000,1750.0
2021-04-20,XL,50,115000,2300.0
2021-04-20,XXL,30,78000,2600.0
2021-04-21,S,0,0,0.0
2021-04-21,M,0,0,0.0
2021-04-21,L,0,0,0.0
2021-04-21,XL,0,0,0.0
2021-04-21,XXL,0,0,0.0
2021-04-22,S,0,0,0.0
2021-04-22,M,0,0,0.0
2021-04-22,L,0,0,0.0
2021-04-22,XL,0,0,0.0
2021-04-22,XXL,0,0,0.0
2021-04-23,S,10,16500,1650.0
2021-04-23,M,30,52500,1750.0
2021-04-23,L,100,175000,1750.0
2021-04-23,XL,60,138000,2300.0
2021-04-23,XXL,30,78000,2600.0
2021-04-24,S,30,49500,1650.0
2021-04-24,M,50,87500,1750.0
2021-04-24,L,120,210000,1750.0
2021-04-24,XL,40,92000,2300.0
2021-04-24,XXL,70,182000,2600.0
2021-04-25,S,0,0,0.0
2021-04-25,M,0,0,0.0
2021-04-25,L,0,0,0.0
2021-04-25,XL,0,0,0.0
2021-04-25,XXL,0,0,0.0
2021-04-26,S,30,49500,1650.0
2021-04-26,M,40,70000,1750.0
2021-04-26,L,140,245000,1750.0
2021-04-26,XL,70,161000,2300.0
2021-04-26,XXL,10,26000,2600.0
2021-04-27,S,70,115500,1650.0
2021-04-27,M,10,17500,1750.0
2021-04-27,L,140,245000,1750.0
2021-04-27,XL,80,184000,2300.0
2021-04-27,XXL,50,130000,2600.0
2021-04-28,S,0,0,0.0
2021-04-28,M,30,52500,1750.0
2021-04-28,L,130,227500,1750.0
2021-04-28,XL,80,184000,2300.0
2021-04-28,XXL,30,78000,2600.0
2021-04-29,S,10,16500,1650.0
2021-04-29,M,50,87500,1750.0
2021-04-29,L,120,210000,1750.0
2021-04-29,XL,40,92000,2300.0
2021-04-29,XXL,80,208000,2600.0
2021-04-30,S,40,66000,1650.0
2021-04-30,M,50,87500,1750.0
2021-04-30,L,170,297500,1750.0
2021-04-30,XL,120,276000,2300.0
2021-04-30,XXL,60,156000,2600.0
2021-05-01,S,10,16500,1650.0
2021-05-01,M,50,87500,1750.0
2021-05-01,L,100,175000,1750.0
2021-05-01,XL,70,161000,2300.0
2021-05-01,XXL,60,156000,2600.0
2021-05-02,S,0,0,0.0
2021-05-02,M,0,0,0.0
2021-05-02,L,0,0,0.0
2021-05-02,XL,0,0,0.0
2021-05-02,XXL,0,0,0.0
2021-05-03,S,10,16500,1650.0
2021-05-03,M,20,35000,1750.0
2021-05-03,L,120,210000,1750.0
2021-05-03,XL,60,138000,2300.0
2021-05-03,XXL,10,26000,2600.0
2021-05-04,S,10,16500,1650.0
2021-05-04,M,30,52500,1750.0
2021-05-04,L,20,35000,1750.0
2021-05-04,XL,60,138000,2300.0
2021-05-04,XXL,40,104000,2600.0
2021-05-05,S,10,16500,1650.0
2021-05-05,M,70,122500,1750.0
2021-05-05,L,130,227500,1750.0
2021-05-05,XL,50,115000,2300.0
2021-05-05,XXL,10,26000,2600.0
2021-05-06,S,20,33000,1650.0
2021-05-06,M,90,157500,1750.0
2021-05-06,L,100,175000,1750.0
2021-05-06,XL,80,184000,2300.0
2021-05-06,XXL,80,208000,2600.0
2021-05-07,S,30,49500,1650.0
2021-05-07,M,40,70000,1750.0
2021-05-07,L,130,227500,1750.0
2021-05-07,XL,50,115000,2300.0
2021-05-07,XXL,40,104000,2600.0
2021-05-08,S,0,0,0.0
2021-05-08,M,30,52500,1750.0
2021-05-08,L,120,210000,1750.0
2021-05-08,XL,30,69000,2300.0
2021-05-08,XXL,50,130000,2600.0
2021-05-09,S,0,0,0.0
2021-05-09,M,0,0,0.0
2021-05-09,L,0,0,0.0
2021-05-09,XL,0,0,0.0
2021-05-09,XXL,0,0,0.0
2021-05-10,S,0,0,0.0
2021-05-10,M,10,17500,1750.0
2021-05-10,L,150,262500,1750.0
2021-05-10,XL,40,92000,2300.0
2021-05-10,XXL,50,130000,2600.0
2021-05-11,S,20,33000,1650.0
2021-05-11,M,40,70000,1750.0
2021-05-11,L,230,402500,1750.0
2021-05-11,XL,100,230000,2300.0
2021-05-11,XXL,90,234000,2600.0
2021-05-12,S,0,0,0.0
2021-05-12,M,0,0,0.0
2021-05-12,L,0,0,0.0
2021-05-12,XL,0,0,0.0
2021-05-12,XXL,0,0,0.0
2021-05-13,S,0,0,0.0
2021-05-13,M,0,0,0.0
2021-05-13,L,0,0,0.0
2021-05-13,XL,0,0,0.0
2021-05-13,XXL,0,0,0.0
2021-05-14,S,0,0,0.0
2021-05-14,M,0,0,0.0
2021-05-14,L,0,0,0.0
2021-05-14,XL,0,0,0.0
2021-05-14,XXL,0,0,0.0
2021-05-15,S,20,33000,1650.0
2021-05-15,M,10,17500,1750.0
2021-05-15,L,14,24500,1750.0
2021-05-15,XL,20,46000,2300.0
2021-05-15,XXL,0,0,0.0
2021-05-16,S,0,0,0.0
2021-05-16,M,0,0,0.0
2021-05-16,L,0,0,0.0
2021-05-16,XL,0,0,0.0
2021-05-16,XXL,0,0,0.0
2021-05-17,S,40,66000,1650.0
2021-05-17,M,40,70000,1750.0
2021-05-17,L,180,315000,1750.0
2021-05-17,XL,100,230000,2300.0
2021-05-17,XXL,60,156000,2600.0
2021-05-18,S,10,16500,1650.0
2021-05-18,M,30,52500,1750.0
2021-05-18,L,130,227500,1750.0
2021-05-18,XL,90,207000,2300.0
2021-05-18,XXL,60,156000,2600.0
2021-05-19,S,0,0,0.0
2021-05-19,M,0,0,0.0
2021-05-19,L,0,0,0.0
2021-05-19,XL,0,0,0.0
2021-05-19,XXL,0,0,0.0
2021-05-20,S,0,0,0.0
2021-05-20,M,0,0,0.0
2021-05-20,L,0,0,0.0
2021-05-20,XL,0,0,0.0
2021-05-20,XXL,0,0,0.0
2021-05-21,S,0,0,0.0
2021-05-21,M,0,0,0.0
2021-05-21,L,0,0,0.0
2021-05-21,XL,0,0,0.0
2021-05-21,XXL,0,0,0.0
2021-05-22,S,0,0,0.0
2021-05-22,M,0,0,0.0
2021-05-22,L,0,0,0.0
2021-05-22,XL,0,0,0.0
2021-05-22,XXL,0,0,0.0
2021-05-23,S,0,0,0.0
2021-05-23,M,0,0,0.0
2021-05-23,L,0,0,0.0
2021-05-23,XL,0,0,0.0
2021-05-23,XXL,0,0,0.0
2021-05-24,S,0,0,0.0
2021-05-24,M,0,0,0.0
2021-05-24,L,0,0,0.0
2021-05-24,XL,0,0,0.0
2021-05-24,XXL,0,0,0.0
2021-05-25,S,0,0,0.0
2021-05-25,M,0,0,0.0
2021-05-25,L,0,0,0.0
2021-05-25,XL,0,0,0.0
2021-05-25,XXL,0,0,0.0
2021-05-26,S,0,0,0.0
2021-05-26,M,0,0,0.0
2021-05-26,L,0,0,0.0
2021-05-26,XL,0,0,0.0
2021-05-26,XXL,0,0,0.0
2021-05-27,S,0,0,0.0
2021-05-27,M,0,0,0.0
2021-05-27,L,0,0,0.0
2021-05-27,XL,0,0,0.0
2021-05-27,XXL,0,0,0.0
2021-05-28,S,30,49500,1650.0
2021-05-28,M,0,0,0.0
2021-05-28,L,0,0,0.0
2021-05-28,XL,0,0,0.0
