produk,tanggal,qty,t,ln_Q
L,2021-10-25,90,224,4.499809670330265
L,2021-10-26,190,225,5.247024072160486
L,2021-10-27,90,226,4.499809670330265
L,2021-10-28,130,227,4.867534450455582
L,2021-10-29,160,228,5.075173815233827
L,2021-10-30,110,229,4.700480365792417
L,2021-11-01,130,230,4.867534450455582
L,2021-11-02,180,231,5.19295685089021
L,2021-11-03,80,232,4.382026634673881
L,2021-11-04,60,233,4.0943445622221
L,2021-11-05,110,234,4.700480365792417
L,2021-11-06,90,235,4.499809670330265
L,2021-11-08,110,236,4.700480365792417
L,2021-11-09,130,237,4.867534450455582
L,2021-11-10,60,238,4.0943445622221
L,2021-11-11,190,239,5.247024072160486
L,2021-11-12,140,240,4.941642422609304
L,2021-11-13,120,241,4.787491742782046
L,2021-11-15,130,242,4.867534450455582
L,2021-11-16,140,243,4.941642422609304
L,2021-11-17,70,244,4.248495242049359
L,2021-11-18,90,245,4.499809670330265
L,2021-11-19,110,246,4.700480365792417
L,2021-11-22,160,247,5.075173815233827
L,2021-11-23,120,248,4.787491742782046
L,2021-11-24,120,249,4.787491742782046
L,2021-11-25,110,250,4.700480365792417
L,2021-11-26,130,251,4.867534450455582
L,2021-11-27,130,252,4.867534450455582
L,2021-11-29,120,253,4.787491742782046
L,2021-11-30,140,254,4.941642422609304
L,2021-12-01,60,255,4.0943445622221
L,2021-12-02,60,256,4.0943445622221
L,2021-12-03,130,257,4.867534450455582
L,2021-12-04,280,258,5.634789603169249
L,2021-12-06,80,259,4.382026634673881
L,2021-12-07,100,260,4.605170185988092
L,2021-12-08,90,261,4.499809670330265
L,2021-12-09,130,262,4.867534450455582
L,2021-12-10,90,263,4.499809670330265
L,2021-12-11,130,264,4.867534450455582
L,2021-12-13,170,265,5.135798437050262
L,2021-12-14,170,266,5.135798437050262
L,2021-12-15,80,267,4.382026634673881
L,2021-12-16,140,268,4.941642422609304
L,2021-12-17,170,269,5.135798437050262
L,2021-12-18,90,270,4.499809670330265
L,2021-12-20,70,271,4.248495242049359
L,2021-12-21,80,272,4.382026634673881
L,2021-12-22,90,273,4.499809670330265
L,2021-12-23,90,274,4.499809670330265
L,2021-12-24,130,275,4.867534450455582
L,2021-12-25,90,276,4.499809670330265
L,2021-12-27,140,277,4.941642422609304
L,2021-12-28,120,278,4.787491742782046
L,2021-12-29,80,279,4.382026634673881
L,2021-12-30,100,280,4.605170185988092
L,2021-12-31,120,281,4.787491742782046
L,2022-01-03,130,282,4.867534450455582
L,2022-01-04,100,283,4.605170185988092
L,2022-01-05,140,284,4.941642422609304
L,2022-01-06,50,285,3.912023005428146
L,2022-01-07,100,286,4.605170185988092
L,2022-01-08,110,287,4.700480365792417
L,2022-01-10,110,288,4.700480365792417
L,2022-01-11,110,289,4.700480365792417
L,2022-01-12,110,290,4.700480365792417
L,2022-01-13,210,291,5.3471075307174685
L,2022-01-14,50,292,3.912023005428146
L,2022-01-17,80,293,4.382026634673881
L,2022-01-18,60,294,4.0943445622221
L,2022-01-19,160,295,5.075173815233827
L,2022-01-20,200,296,5.298317366548036
L,2022-01-21,100,297,4.605170185988092
L,2022-01-22,80,298,4.382026634673881
L,2022-01-24,110,299,4.700480365792417
L,2022-01-25,140,300,4.941642422609304
L,2022-01-26,130,301,4.867534450455582
L,2022-01-27,70,302,4.248495242049359
L,2022-01-28,100,303,4.605170185988092
L,2022-01-30,140,304,4.941642422609304
L,2022-01-31,80,305,4.382026634673881
L,2022-02-01,110,306,4.700480365792417
L,2022-02-02,140,307,4.941642422609304
L,2022-02-04,140,308,4.941642422609304
L,2022-02-05,100,309,4.605170185988092
L,2022-02-07,120,310,4.787491742782046
L,2022-02-09,150,311,5.0106352940962555
L,2022-02-10,160,312,5.075173815233827
L,2022-02-11,110,313,4.700480365792417
L,2022-02-12,90,314,4.499809670330265
L,2022-02-14,40,315,3.6888794541139363
L,2022-02-15,50,316,3.912023005428146
L,2022-02-16,180,317,5.19295685089021
L,2022-02-17,70,318,4.248495242049359
L,2022-02-19,230,319,5.438079308923196
L,2022-02-21,20,320,2.995732273553991
L,2022-02-22,80,321,4.382026634673881
L,2022-02-23,80,322,4.382026634673881
L,2022-02-24,60,323,4.0943445622221
L,2022-02-26,70,324,4.248495242049359
L,2022-02-27,130,325,4.867534450455582
L,2022-02-28,190,326,5.247024072160486
L,2022-03-01,120,327,4.787491742782046
L,2022-03-02,120,328,4.787491742782046
L,2022-03-03,140,329,4.941642422609304
L,2022-03-04,100,330,4.605170185988092
L,2022-03-06,80,331,4.382026634673881
L,2022-03-07,60,332,4.0943445622221
L,2022-03-08,100,333,4.605170185988092
L,2022-03-09,100,334,4.605170185988092
L,2022-03-10,70,335,4.248495242049359
L,2022-03-11,120,336,4.787491742782046
L,2022-03-12,100,337,4.605170185988092
L,2022-03-14,90,338,4.499809670330265
L,2022-03-16,120,339,4.787491742782046
L,2022-03-17,110,340,4.700480365792417
L,2022-03-18,120,341,4.787491742782046
L,2022-03-19,70,342,4.248495242049359
L,2022-03-21,120,343,4.787491742782046
L,2022-03-22,70,344,4.248495242049359
L,2022-03-23,90,345,4.499809670330265
L,2022-03-24,210,346,5.3471075307174685
L,2022-03-25,80,347,4.382026634673881
L,2022-03-26,190,348,5.247024072160486
L,2022-03-28,30,349,3.4011973816621555
L,2022-03-29,80,350,4.382026634673881
L,2022-03-31,130,351,4.867534450455582
L,2022-04-01,140,352,4.941642422609304
L,2022-04-02,110,353,4.700480365792417
L,2022-04-04,110,354,4.700480365792417
L,2022-04-05,90,355,4.499809670330265
L,2022-04-06,170,356,5.135798437050262
L,2022-04-07,110,357,4.700480365792417
L,2022-04-08,140,358,4.941642422609304
L,2022-04-09,160,359,5.075173815233827
L,2022-04-11,80,360,4.382026634673881
L,2022-04-12,90,361,4.499809670330265
L,2022-04-13,210,362,5.3471075307174685
L,2022-04-14,50,363,3.912023005428146
L,2022-04-15,90,364,4.499809670330265
L,2022-04-16,50,365,3.912023005428146
L,2022-04-18,80,366,4.382026634673881
L,2022-04-19,150,367,5.0106352940962555
L,2022-04-20,130,368,4.867534450455582
L,2022-04-21,90,369,4.499809670330265
L,2022-04-22,160,370,5.075173815233827
L,2022-04-23,100,371,4.605170185988092
L,2022-04-25,90,372,4.499809670330265
L,2022-04-26,150,373,5.0106352940962555
L,2022-04-28,280,374,5.634789603169249
L,2022-05-05,140,375,4.941642422609304
L,2022-05-07,40,376,3.6888794541139363
L,2022-05-09,220,377,5.393627546352362
L,2022-05-10,100,378,4.605170185988092
L,2022-05-11,130,379,4.867534450455582
L,2022-05-12,90,380,4.499809670330265
L,2022-05-13,200,381,5.298317366548036
L,2022-05-14,190,382,5.247024072160486
L,2022-05-16,140,383,4.941642422609304
L,2022-05-17,80,384,4.382026634673881
L,2022-05-19,150,385,5.0106352940962555
L,2022-05-20,70,386,4.248495242049359
L,2022-05-21,80,387,4.382026634673881
L,2022-05-24,90,388,4.499809670330265
L,2022-05-25,80,389,4.382026634673881
L,2022-05-26,100,390,4.605170185988092
L,2022-05-27,120,391,4.787491742782046
L,2022-05-30,160,392,5.075173815233827
L,2022-05-31,160,393,5.075173815233827
L,2022-06-01,100,394,4.605170185988092
L,2022-06-02,70,395,4.248495242049359
L,2022-06-03,50,396,3.912023005428146
L,2022-06-04,160,397,5.075173815233827
L,2022-06-06,150,398,5.0106352940962555
L,2022-06-07,150,399,5.0106352940962555
L,2022-06-08,120,400,4.787491742782046
L,2022-06-09,50,401,3.912023005428146
L,2022-06-10,100,402,4.605170185988092
L,2022-06-11,140,403,4.941642422609304
L,2022-06-13,120,404,4.787491742782046
L,2022-06-14,110,405,4.700480365792417
L,2022-06-15,120,406,4.787491742782046
L,2022-06-16,50,407,3.912023005428146
L,2022-06-17,70,408,4.248495242049359
L,2022-06-18,170,409,5.135798437050262
L,2022-06-20,160,410,5.075173815233827
L,2022-06-21,90,411,4.499809670330265
L,2022-06-22,160,412,5.075173815233827
L,2022-06-23,70,413,4.248495242049359
L,2022-06-24,110,414,4.700480365792417
L,2022-06-25,130,415,4.867534450455582
L,2022-06-27,180,416,5.19295685089021
L,2022-06-28,200,417,5.298317366548036
L,2022-06-29,90,418,4.499809670330265
L,2022-06-30,120,419,4.787491742782046
L,2022-07-01,90,420,4.499809670330265
L,2022-07-04,150,421,5.0106352940962555
L,2022-07-05,190,422,5.247024072160486
L,2022-07-06,120,423,4.787491742782046
L,2022-07-07,140,424,4.941642422609304
L,2022-07-08,60,425,4.0943445622221
L,2022-07-09,110,426,4.700480365792417
L,2022-07-11,90,427,4.499809670330265
L,2022-07-12,130,428,4.867534450455582
L,2022-07-13,130,429,4.867534450455582
L,2022-07-14,50,430,3.912023005428146
L,2022-07-15,40,431,3.6888794541139363
L,2022-07-16,60,432,4.0943445622221
L,2022-07-23,130,433,4.867534450455582
L,2022-07-25,130,434,4.867534450455582
L,2022-07-26,200,435,5.298317366548036
L,2022-07-27,170,436,5.135798437050262
L,2022-07-28,70,437,4.248495242049359
L,2022-07-29,150,438,5.0106352940962555
L,2022-07-30,100,439,4.605170185988092
L,2022-08-01,90,440,4.499809670330265
L,2022-08-02,70,441,4.248495242049359
L,2022-08-03,90,442,4.499809670330265
L,2022-08-04,160,443,5.075173815233827
L,2022-08-05,40,444,3.6888794541139363
L,2022-08-06,70,445,4.248495242049359
L,2022-08-08,80,446,4.382026634673881
L,2022-08-09,80,447,4.382026634673881
L,2022-08-10,110,448,4.700480365792417
L,2022-08-11,50,449,3.912023005428146
L,2022-08-12,70,450,4.248495242049359
L,2022-08-13,70,451,4.248495242049359
L,2022-08-15,60,452,4.0943445622221
L,2022-08-16,160,453,5.075173815233827
L,2022-08-17,80,454,4.382026634673881
L,2022-08-18,50,455,3.912023005428146
L,2022-08-19,110,456,4.700480365792417
L,2022-08-20,120,457,4.787491742782046
L,2022-08-22,120,458,4.787491742782046
L,2022-08-23,40,459,3.6888794541139363
L,2022-08-24,170,460,5.135798437050262
L,2022-08-25,100,461,4.605170185988092
L,2022-08-26,120,462,4.787491742782046
L,2022-08-27,40,463,3.6888794541139363
L,2022-08-29,90,464,4.499809670330265
L,2022-08-30,90,465,4.499809670330265
L,2022-08-31,110,466,4.700480365792417
L,2022-09-01,90,467,4.499809670330265
L,2022-09-02,120,468,4.787491742782046
L,2022-09-03,110,469,4.700480365792417
L,2022-09-05,80,470,4.382026634673881
L,2022-09-06,150,471,5.0106352940962555
L,2022-09-07,180,472,5.19295685089021
L,2022-09-08,60,473,4.0943445622221
L,2022-09-09,110,474,4.700480365792417
L,2022-09-10,130,475,4.867534450455582
L,2022-09-12,60,476,4.0943445622221
L,2022-09-13,90,477,4.499809670330265
L,2022-09-14,180,478,5.19295685089021
L,2022-09-15,130,479,4.867534450455582
L,2022-09-16,90,480,4.499809670330265
L,2022-09-17,80,481,4.382026634673881
L,2022-09-19,140,482,4.941642422609304
L,2022-09-20,130,483,4.867534450455582
L,2022-09-21,150,484,5.0106352940962555
L,2022-09-22,80,485,4.382026634673881
L,2022-09-23,80,486,4.382026634673881
L,2022-09-24,110,487,4.700480365792417
L,2022-09-26,70,488,4.248495242049359
L,2022-09-27,130,489,4.867534450455582
L,2022-09-28,190,490,5.247024072160486
L,2022-09-29,90,491,4.499809670330265
L,2022-09-30,60,492,4.0943445622221
L,2022-10-01,170,493,5.135798437050262
L,2022-10-03,80,494,4.382026634673881
L,2022-10-04,120,495,4.787491742782046
L,2022-10-05,100,496,4.605170185988092
L,2022-10-06,20,497,2.995732273553991
L,2022-10-07,110,498,4.700480365792417
L,2022-10-09,70,499,4.248495242049359
L,2022-10-10,130,500,4.867534450455582
L,2022-10-11,130,501,4.867534450455582
L,2022-10-12,60,502,4.0943445622221
L,2022-10-13,120,503,4.787491742782046
L,2022-10-14,240,504,5.480638923341991
L,2022-10-15,120,505,4.787491742782046
L,2022-10-17,100,506,4.605170185988092
L,2022-10-18,100,507,4.605170185988092
L,2022-10-19,60,508,4.0943445622221
L,2022-10-20,40,509,3.6888794541139363
L,2022-10-21,90,510,4.499809670330265
L,2022-10-22,70,511,4.248495242049359
L,2022-10-25,110,512,4.700480365792417
L,2022-10-26,190,513,5.247024072160486
L,2022-10-27,140,514,4.941642422609304
L,2022-10-28,120,515,4.787491742782046
L,2022-10-29,170,516,5.135798437050262
L,2022-10-31,150,517,5.0106352940962555
L,2022-11-01,120,518,4.787491742782046
L,2022-11-02,140,519,4.941642422609304
L,2022-11-03,40,520,3.6888794541139363
L,2022-11-04,60,521,4.0943445622221
L,2022-11-05,70,522,4.248495242049359
L,2022-11-07,90,523,4.499809670330265
L,2022-11-09,200,524,5.298317366548036
L,2022-11-10,130,525,4.867534450455582
L,2022-11-11,20,526,2.995732273553991
L,2022-11-12,160,527,5.075173815233827
L,2022-11-14,100,528,4.605170185988092
L,2022-11-15,150,529,5.0106352940962555
L,2022-11-17,80,530,4.382026634673881
L,2022-11-18,80,531,4.382026634673881
L,2022-11-20,80,532,4.382026634673881
L,2022-11-21,140,533,4.941642422609304
L,2022-11-22,70,534,4.248495242049359
L,2022-11-23,190,535,5.247024072160486
L,2022-11-24,90,536,4.499809670330265
L,2022-11-25,50,537,3.912023005428146
L,2022-11-26,150,538,5.0106352940962555
L,2022-11-28,100,539,4.605170185988092
L,2022-11-29,80,540,4.382026634673881
L,2022-11-30,130,541,4.867534450455582
L,2022-12-01,100,542,4.605170185988092
L,2022-12-02,70,543,4.248495242049359
L,2022-12-03,100,544,4.605170185988092
L,2022-12-05,60,545,4.0943445622221
L,2022-12-06,110,546,4.700480365792417
L,2022-12-08,90,547,4.499809670330265
L,2022-12-09,70,548,4.248495242049359
L,2022-12-10,160,549,5.075173815233827
L,2022-12-12,130,550,4.867534450455582
L,2022-12-13,130,551,4.867534450455582
L,2022-12-14,100,552,4.605170185988092
L,2022-12-15,80,553,4.382026634673881
L,2022-12-16,120,554,4.787491742782046
L,2022-12-17,80,555,4.382026634673881
L,2022-12-19,110,556,4.700480365792417
L,2022-12-20,120,557,4.787491742782046
L,2022-12-21,150,558,5.0106352940962555
L,2022-12-22,50,559,3.912023005428146
L,2022-12-23,100,560,4.605170185988092
L,2022-12-26,130,561,4.867534450455582
L,2022-12-27,110,562,4.700480365792417
L,2022-12-28,160,563,5.075173815233827
L,2022-12-29,90,564,4.499809670330265
L,2022-12-30,70,565,4.248495242049359
L,2023-01-02,130,566,4.867534450455582
L,2023-01-03,60,567,4.0943445622221
L,2023-01-04,140,568,4.941642422609304
L,2023-01-05,90,569,4.499809670330265
L,2023-01-06,130,570,4.867534450455582
L,2023-01-07,100,571,4.605170185988092
L,2023-01-09,120,572,4.787491742782046
L,2023-01-10,150,573,5.0106352940962555
L,2023-01-11,130,574,4.867534450455582
L,2023-01-12,100,575,4.605170185988092
L,2023-01-13,110,576,4.700480365792417
L,2023-01-14,110,577,4.700480365792417
L,2023-01-16,50,578,3.912023005428146
L,2023-01-17,220,579,5.393627546352362
L,2023-01-18,130,580,4.867534450455582
L,2023-01-19,110,581,4.700480365792417
L,2023-01-20,80,582,4.382026634673881
L,2023-01-21,100,583,4.605170185988092
L,2023-01-23,150,584,5.0106352940962555
L,2023-01-24,340,585,5.8289456176102075
L,2023-01-25,80,586,4.382026634673881
L,2023-01-26,70,587,4.248495242049359
L,2023-01-27,110,588,4.700480365792417
L,2023-01-28,50,589,3.912023005428146
L,2023-01-29,20,590,2.995732273553991
L,2023-01-30,60,591,4.0943445622221
L,2023-01-31,140,592,4.941642422609304
L,2023-02-01,110,593,4.700480365792417
L,2023-02-02,90,594,4.499809670330265
L,2023-02-03,110,595,4.700480365792417
L,2023-02-04,80,596,4.382026634673881
L,2023-02-06,60,597,4.0943445622221
L,2023-02-07,200,598,5.298317366548036
L,2023-02-08,100,599,4.605170185988092
L,2023-02-09,60,600,4.0943445622221
L,2023-02-10,80,601,4.382026634673881
L,2023-02-11,70,602,4.248495242049359
L,2023-02-13,140,603,4.941642422609304
L,2023-02-14,90,604,4.499809670330265
L,2023-02-15,180,605,5.19295685089021
L,2023-02-16,100,606,4.605170185988092
L,2023-02-17,130,607,4.867534450455582
L,2023-02-18,120,608,4.787491742782046
L,2023-02-20,110,609,4.700480365792417
L,2023-02-21,160,610,5.075173815233827
L,2023-02-22,120,611,4.787491742782046
L,2023-02-23,50,612,3.912023005428146
L,2023-02-26,130,613,4.867534450455582
L,2023-02-27,130,614,4.867534450455582
L,2023-02-28,170,615,5.135798437050262
L,2023-03-01,80,616,4.382026634673881
L,2023-03-03,100,617,4.605170185988092
L,2023-03-04,90,618,4.499809670330265
L,2023-03-06,120,619,4.787491742782046
L,2023-03-07,180,620,5.19295685089021
L,2023-03-08,120,621,4.787491742782046
L,2023-03-09,70,622,4.248495242049359
L,2023-03-10,60,623,4.0943445622221
L,2023-03-11,130,624,4.867534450455582
L,2023-03-13,30,625,3.4011973816621555
L,2023-03-14,190,626,5.247024072160486
L,2023-03-15,80,627,4.382026634673881
L,2023-03-16,60,628,4.0943445622221
L,2023-03-17,50,629,3.912023005428146
L,2023-03-18,130,630,4.867534450455582
L,2023-03-20,150,631,5.0106352940962555
L,2023-03-21,50,632,3.912023005428146
L,2023-03-22,130,633,4.867534450455582
L,2023-03-23,30,634,3.4011973816621555
L,2023-03-24,90,635,4.499809670330265
L,2023-03-25,160,636,5.075173815233827
L,2023-03-27,130,637,4.867534450455582
L,2023-03-28,150,638,5.0106352940962555
L,2023-03-29,120,639,4.787491742782046
L,2023-03-30,20,640,2.995732273553991
L,2023-03-31,80,641,4.382026634673881
L,2023-04-01,120,642,4.787491742782046
L,2023-04-03,140,643,4.941642422609304
L,2023-04-04,90,644,4.499809670330265
L,2023-04-05,90,645,4.499809670330265
L,2023-04-06,30,646,3.4011973816621555
L,2023-04-07,60,647,4.0943445622221
L,2023-04-08,100,648,4.605170185988092
L,2023-04-10,80,649,4.382026634673881
L,2023-04-11,180,650,5.19295685089021
L,2023-04-12,50,651,3.912023005428146
L,2023-04-13,60,652,4.0943445622221
L,2023-04-14,110,653,4.700480365792417
L,2023-04-15,130,654,4.867534450455582
L,2023-04-17,120,655,4.787491742782046
L,2023-04-18,140,656,4.941642422609304
L,2023-04-19,10,657,2.302585092994046
L,2023-04-28,120,658,4.787491742782046
L,2023-05-02,190,659,5.247024072160486
L,2023-05-03,160,660,5.075173815233827
L,2023-05-04,130,661,4.867534450455582
L,2023-05-05,110,662,4.700480365792417
